Country,Government_Type,Capital,Mean_Temp,Real_GDP_PPP_billion_USD,Real_GDP_per_Capita_USD,Real_GDP_Growth_Rate_percent,Youth_Unemployment_Rate_percent,Population_Growth_Rate,Median_Age,Total_Literacy_Rate,electricity_access_percent,electricity_capacity_per_capita,internet_users_per_100,broadband_subs_per_100,mobile_subs_per_100,population_density,road_density_per_1000km2,rail_density_per_1000km2,airports_per_million,co2_per_capita_tonnes,co2_per_gdp_tonnes_per_billion,fossil_intensity_index,water_share,coastline_per_1000km2
BELIZE,Democracy,Belmopan,26.63,3.5,8800.0,15.23,19.3,1.61,23.9,,97.0,0.4867143678558562,59.16919766090801,8.589077079809227,62.03222335417775,18.37836534245374,143.86564939051127,,112.13517298639825,1290747.4167157756,154571.42857142858,,0.006966820517286423,16.925370516530737
BENIN,Republic,Porto-Novo,28.57,43.17,3300.0,7.16,3.9,3.31,17.0,45.8%,41.0,0.03340387293644938,31.08318281665395,0.2108382135805661,89.53491119633124,128.54502720977743,144.6366907125165,3.959429408255139,0.4219436581446237,0.4219436581446237,0.13898540653231412,-0.19792768465802357,0.017758519649801994,
BERMUDA,Democracy,Hamilton,,5.13,80300.0,5.41,29.3,0.32,43.6,,100.0,2.369929453262787,88.18342151675485,31.690917107583775,93.69488536155202,1344.0,8277.777777777777,,,10967813.051146384,155165.69200779728,,0.0,1907.4074074074074
BHUTAN,Monarchy,Thimphu,10.81,8.48,10900.0,4.09,18.8,0.96,29.1,70.9%,100.0,2.663833157760782,76.55952366006568,0.3639658928919938,88.79535164537921,22.820779288430483,317.8882116997448,,3.4239500742426507,1065989.7897808787,110141.50943396226,,0.0,0.0
BOLIVIA,Republic,La Paz,21.8,97.27,8100.0,6.11,17.4,1.06,25.3,92.5%,98.0,0.3146212986145913,64.99219314104234,7.647398314092663,98.75154264140254,11.249024047794657,83.60372601889965,3.6554937178125013,70.16202668635252,1.3950344487344946,0.17477125526883933,,0.01390885150935616,0.0
BOSNIA AND HERZEGOVINA,Republic,Sarajevo,12.23,51.24,15700.0,7.55,32.9,0.23,43.3,98.1%,100.0,1.254016793057553,65.86542653378729,20.23297662355125,97.925580471899,74.38927852775119,447.8871588489265,18.85244300310626,6.3029116300274906,4.201941086684994,0.312256049960968,0.05575914820249724,0.00019532394476238843,0.3907242073182644
BOTSWANA,Republic,Gaborone,22.54,38.41,14800.0,11.37,41.2,1.37,25.7,88.5%,73.0,0.3168436744600835,79.58318925080948,10.73483741700433,172.0946345046898,4.26586910874667,56.01785682776631,1.5668837012333916,30.60891894261903,2.06817019882561,0.13017443374121324,,0.025785158063018926,0.0
BRAZIL,Republic,Brasília,26.02,3128.0,14600.0,4.62,31.9,0.64,33.2,94.3%,99.0,0.8918433248796376,64.43328664908618,14.403966803072539,94.67604511536405,26.164883215643673,239.28768840914367,3.5713687495064694,18.716011468246318,2085145.6705400245,145780.05115089513,-0.18219110473643876,0.01851036371343989,0.8962520369364476
BRITISH VIRGIN ISLANDS,Democracy,Road Town,,500.0,34200.0,2.0,,1.87,37.2,,100.0,0.8382229673093042,61.18265640478549,17.11498895069725,88.90243592674439,260.72185430463577,1324.5033112582782,,101.60278391627931,4394320.40437908,346.0,,0.0,529.8013245033113
BRUNEI,Monarchy,Bandar Seri Begawan,,26.78,60100.0,-1.59,23.4,1.43,31.1,97.6%,100.0,2.60004824831801,90.92952240350853,14.655529690241675,124.4324121478543,92.11604938271606,565.2421652421652,,861.8716635978811,18.557045388471128,0.33607169529499625,,0.08673026886383348,30.579297245963915
